Name,Total Duration (us),Total Count
matmul3,941564484.3999997,160
matmul4,130495611.20000006,156
matmul1,128182889.21200001,8
matmul,122731205.73999886,928
matmul2,96324566.003,8
matmul7,36307580.0,41
matmul5,22144858.2,152
conv1d1,16149300.0,1
softmax,6686555.501,8
conv1d,5052510.0,1
matmul6,3863017.899999999,152
transpose3,1578046.8500000003,160
erf2,1135647.0,4
matmul8,975077.0,1
mean,232315.55999999616,1006
softmax1,176436.90000000005,152
add9,153087.8,4
add7,152508.619,20
multiply6,146779.40000000002,4
divide3,128288.5,4
add10,127594.9,4
multiply7,127532.6,4
erf,126628.80400000016,153
add6,125145.0570000005,161
divide2,124959.59999999998,9
vm.builtin.call_tir_dyn,97524.65099999987,629
subtract,90058.30500000101,503
power,85602.82100000093,503
multiply4,79528.19,9
add8,74065.47700000003,12
erf1,55141.0,1
transpose4,41691.3,4
vm.builtin.reshape,40640.597000000394,3130
transpose2,39228.19,4
multiply5,32406.44,4
add3,29675.80600000013,913
transpose1,26784.71,12
multiply,26701.89500000003,495
divide,25496.066000000083,495
transpose,23121.7,1
multiply1,21445.43300000001,305
vm.builtin.make_shape,21090.2450000001,2072
add1,20635.770000000004,495
add4,17973.062000000045,449
add,16580.248000000007,39
add2,16355.101000000031,495
multiply2,13909.326000000001,153
divide1,12792.619000000006,153
multiply3,12618.115000000003,153
concatenate,12092.051999999998,296
vm.builtin.match_shape,8018.406000000015,928
add5,6403.880000000002,169
tir_sqrt,4791.618999999997,503
vm.builtin.check_tensor_info,4283.895999999999,632
vm.builtin.make_tuple,1314.001,38
take,638.1899999999998,38
shape_func,259.67900000000003,37
