Argument Shapes,Count,Device,Duration (us),Name,Percent
"int64[1, 1]",1,"cpu0",17.168,"vm.builtin.check_tensor_info",2.76483e-05
"float32[1, 1500, 384]",1,"cpu0",8.001,"vm.builtin.check_tensor_info",1.28853e-05
"int64[1, 1]",1,"cpu0",12.668,"vm.builtin.match_shape",2.04013e-05
"float32[1, 1500, 384]",1,"cpu0",8.667,"vm.builtin.match_shape",1.39578e-05
"int64[1, 1]",1,"cpu0",15.125,"vm.builtin.reshape",2.43582e-05
"float32[51865, 384], int64[1, 1], float32[1, 1, 384]",1,"cpu0",14.668,"take",2.36222e-05
"float32[1, 1, 384], float32[1, 384], float32[1, 1, 384]",1,"cpu0",17.084,"add",2.7513e-05
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",18.584,"mean",2.99287e-05
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",15.625,"subtract",2.51634e-05
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",14.876,"power",2.39571e-05
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",13.001,"mean",2.09375e-05
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",7.584,"add1",1.22137e-05
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",8.501,"tir_sqrt",1.36905e-05
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",16.625,"divide",2.67738e-05
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",17.334,"multiply",2.79157e-05
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",15.792,"add2",2.54323e-05
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4871.32,"matmul",0.00784505
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",21.709,"add3",3.49614e-05
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4810.53,"matmul",0.00774715
"float32[1, 1, 384]",1,"cpu0",25.292,"vm.builtin.reshape",4.07317e-05
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4859.11,"matmul",0.00782539
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",25.209,"add3",4.0598e-05
"float32[1, 1, 384]",1,"cpu0",15.583,"vm.builtin.reshape",2.50957e-05
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",20.126,"multiply1",3.2412e-05
"float32[1, 1, 384]",1,"cpu0",11.042,"vm.builtin.reshape",1.77827e-05
"float32[1, 1, 6, 64]",1,"cpu0",10.042,"vm.builtin.reshape",1.61722e-05
"float32[1, 1, 6, 64]",1,"cpu0",9,"vm.builtin.reshape",1.44941e-05
"float32[1, 1, 6, 64]",1,"cpu0",8,"vm.builtin.reshape",1.28837e-05
"float32[1, 6, 1, 64]",1,"cpu0",10.042,"vm.builtin.reshape",1.61722e-05
