Argument Shapes,Count,Device,Duration (us),Name,Percent
"int64[1, 1]",1,"cpu0",16.084,"vm.builtin.check_tensor_info",0.000790014
"float32[1, 6, 21, 64]",1,"cpu0",8.001,"vm.builtin.check_tensor_info",0.000392993
"float32[1, 6, 21, 64]",1,"cpu0",7.375,"vm.builtin.check_tensor_info",0.000362245
"float32[1, 6, 1500, 64]",1,"cpu0",5.417,"vm.builtin.check_tensor_info",0.000266072
"float32[1, 6, 1500, 64]",1,"cpu0",8.042,"vm.builtin.check_tensor_info",0.000395007
"float32[1, 6, 21, 64]",1,"cpu0",5.333,"vm.builtin.check_tensor_info",0.000261946
"float32[1, 6, 21, 64]",1,"cpu0",5.75,"vm.builtin.check_tensor_info",0.000282429
"float32[1, 6, 1500, 64]",1,"cpu0",6.001,"vm.builtin.check_tensor_info",0.000294757
"float32[1, 6, 1500, 64]",1,"cpu0",6.125,"vm.builtin.check_tensor_info",0.000300848
"float32[1, 6, 21, 64]",1,"cpu0",6.376,"vm.builtin.check_tensor_info",0.000313176
"float32[1, 6, 21, 64]",1,"cpu0",6.25,"vm.builtin.check_tensor_info",0.000306988
"float32[1, 6, 1500, 64]",1,"cpu0",5.875,"vm.builtin.check_tensor_info",0.000288568
"float32[1, 6, 1500, 64]",1,"cpu0",5.375,"vm.builtin.check_tensor_info",0.000264009
"float32[1, 6, 21, 64]",1,"cpu0",6.167,"vm.builtin.check_tensor_info",0.000302911
"float32[1, 6, 21, 64]",1,"cpu0",6.042,"vm.builtin.check_tensor_info",0.000296771
"float32[1, 6, 1500, 64]",1,"cpu0",5.459,"vm.builtin.check_tensor_info",0.000268135
"float32[1, 6, 1500, 64]",1,"cpu0",5.75,"vm.builtin.check_tensor_info",0.000282429
"int64[1, 1], int64[5]",1,"cpu0",10.584,"vm.builtin.match_shape",0.000519865
"float32[1, 6, 21, 64], int64[5]",1,"cpu0",8.709,"vm.builtin.match_shape",0.000427769
"float32[1, 6, 21, 64], int64[5]",1,"cpu0",8,"vm.builtin.match_shape",0.000392944
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.542,"vm.builtin.match_shape",0.00032133
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.083,"vm.builtin.match_shape",0.000298785
"float32[1, 6, 21, 64], int64[5]",1,"cpu0",8.459,"vm.builtin.match_shape",0.000415489
"float32[1, 6, 21, 64], int64[5]",1,"cpu0",6.625,"vm.builtin.match_shape",0.000325407
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.542,"vm.builtin.match_shape",0.00032133
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.5,"vm.builtin.match_shape",0.000319267
"float32[1, 6, 21, 64], int64[5]",1,"cpu0",6.709,"vm.builtin.match_shape",0.000329533
"float32[1, 6, 21, 64], int64[5]",1,"cpu0",6.625,"vm.builtin.match_shape",0.000325407
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.5,"vm.builtin.match_shape",0.000368385
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.958,"vm.builtin.match_shape",0.000341763
"float32[1, 6, 21, 64], int64[5]",1,"cpu0",7.292,"vm.builtin.match_shape",0.000358169
"float32[1, 6, 21, 64], int64[5]",1,"cpu0",8.208,"vm.builtin.match_shape",0.000403161
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.251,"vm.builtin.match_shape",0.000356155
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",8.167,"vm.builtin.match_shape",0.000401147
"int64[5]",1,"cpu0",6.959,"shape_func",0.000341812
"int64[1, 1]",1,"cpu0",15.167,"vm.builtin.reshape",0.000744973
"float32[51865, 384], int64[1, 1], float32[1, 1, 384]",1,"cpu0",15.667,"take",0.000769532
"int64[5]",1,"cpu0",9.542,"vm.builtin.make_shape",0.000468684
"float32[448, 384], float32[1, 384]",1,"cpu0",18.5,"vm.builtin.call_tir_dyn",0.000908683
"float32[1, 1, 384], float32[1, 384], float32[1, 1, 384]",1,"cpu0",15.584,"add",0.000765455
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",18.126,"mean",0.000890313
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",14.667,"subtract",0.000720414
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",13.334,"power",0.00065494
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",13.583,"mean",0.00066717
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",8.5,"add1",0.000417503
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",6.583,"tir_sqrt",0.000323344
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",17.334,"divide",0.000851412
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",15.833,"multiply",0.000777686
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",68.168,"add2",0.00334828
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4837.11,"matmul",0.237589
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",24.918,"add3",0.00122392
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4841.36,"matmul",0.237798
"float32[1, 1, 384]",1,"cpu0",27.667,"vm.builtin.reshape",0.00135895
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4839.78,"matmul",0.23772
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",23.793,"add3",0.00116866
"float32[1, 1, 384]",1,"cpu0",16.084,"vm.builtin.reshape",0.000790014
"float32[1, 1, 6, 64]",1,"cpu0",14.375,"vm.builtin.reshape",0.000706071
"float32[1, 1, 6, 64]",1,"cpu0",8.792,"vm.builtin.reshape",0.000431846
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",19.459,"multiply1",0.000955787
"float32[1, 1, 384]",1,"cpu0",8.291,"vm.builtin.reshape",0.000407237
"float32[1, 1, 6, 64]",1,"cpu0",8.125,"vm.builtin.reshape",0.000399084
"int64[5]",1,"cpu0",14.75,"vm.builtin.make_shape",0.000724491
"int64[5]",1,"cpu0",11.75,"vm.builtin.make_shape",0.000577137
"float32[1, 6, 21, 64], float32[1, 6, 1, 64], float32[1, 6, 22, 64]",1,"cpu0",37.168,"concatenate",0.00182562
"int64[5]",1,"cpu0",10.292,"vm.builtin.make_shape",0.000505523
"int64[5]",1,"cpu0",10.959,"vm.builtin.make_shape",0.000538284
"float32[1, 6, 21, 64], float32[1, 6, 1, 64], float32[1, 6, 22, 64]",1,"cpu0",34.001,"concatenate",0.00167006
"int64[5]",1,"cpu0",10,"vm.builtin.make_shape",0.00049118
"float32[1, 6, 22, 64]",1,"cpu0",11,"vm.builtin.reshape",0.000540298
"float32[1, 6, 1, 64]",1,"cpu0",7.75,"vm.builtin.reshape",0.000380665
"int64[5]",1,"cpu0",9.875,"vm.builtin.make_shape",0.00048504
"int64[5]",1,"cpu0",8.125,"vm.builtin.make_shape",0.000399084
"int64[5]",1,"cpu0",7.251,"vm.builtin.make_shape",0.000356155
"float32[6, 22, 64], float32[6, 64, 22]",1,"cpu0",168.297,"vm.builtin.call_tir_dyn",0.00826641
"int64[5]",1,"cpu0",9.958,"vm.builtin.make_shape",0.000489117
"int64[5]",1,"cpu0",9.25,"vm.builtin.make_shape",0.000454342
"int64[5]",1,"cpu0",8.583,"vm.builtin.make_shape",0.00042158
"float32[6, 1, 64], float32[6, 64, 22], float32[6, 1, 22]",1,"cpu0",238.799,"vm.builtin.call_tir_dyn",0.0117293
"int64[5]",1,"cpu0",7.584,"vm.builtin.make_shape",0.000372511
"int64[5]",1,"cpu0",7.334,"vm.builtin.make_shape",0.000360232
"int64[5]",1,"cpu0",7.501,"vm.builtin.make_shape",0.000368434
"float32[6, 1, 22], float32[6, 1, 22]",1,"cpu0",49.877,"vm.builtin.call_tir_dyn",0.00244986
"int64[5]",1,"cpu0",10.709,"vm.builtin.make_shape",0.000526005
"float32[1, 6, 22, 64]",1,"cpu0",9.917,"vm.builtin.reshape",0.000487103
"int64[5]",1,"cpu0",7,"vm.builtin.make_shape",0.000343826
"float32[6, 1, 22], float32[6, 22, 64], float32[6, 1, 64]",1,"cpu0",240.341,"vm.builtin.call_tir_dyn",0.0118051
"float32[6, 1, 64]",1,"cpu0",8.751,"vm.builtin.reshape",0.000429832
"float32[1, 6, 1, 64]",1,"cpu0",7.959,"vm.builtin.reshape",0.00039093
"float32[1, 1, 6, 64]",1,"cpu0",11.084,"vm.builtin.reshape",0.000544424
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4883.78,"matmul",0.239882
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",20.542,"add3",0.00100898
"float32[1, 1, 384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",17.167,"add4",0.000843209
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",18.459,"mean",0.000906669
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",21.959,"subtract",0.00107858
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",17.792,"power",0.000873908
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",14.667,"mean",0.000720414
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",8.042,"add1",0.000395007
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",8.333,"tir_sqrt",0.0004093
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",17.459,"divide",0.000857551
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",15.459,"multiply",0.000759315
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",16.459,"add2",0.000808433
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4872.28,"matmul",0.239317
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",21.584,"add3",0.00106016
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",18.709,"multiply1",0.000918949
