Argument Shapes,Count,Device,Duration (us),Name,Percent
"float32[1, 80, 3000]",1,"cpu0",24.001,"vm.builtin.check_tensor_info",1.73993e-06
"float32[1, 80, 3000]",1,"cpu0",15.75,"vm.builtin.match_shape",1.14178e-06
"float32[1, 80, 3000], float32[384, 80, 3], float32[1, 384, 3000]",1,"cpu0",5.05251e+06,"conv1d",0.366276
"float32[1, 384, 3000], float32[1, 384, 1], float32[1, 384, 3000]",1,"cpu0",15937.6,"add",0.00115538
"float32[1, 384, 3000], float32[1, 384, 3000]",1,"cpu0",16058.1,"divide",0.00116411
"float32[1, 384, 3000], float32[1, 384, 3000]",1,"cpu0",88512.5,"erf",0.00641662
"float32[1, 384, 3000], float32[1, 384, 3000]",1,"cpu0",16107.3,"add1",0.00116768
"float32[1, 384, 3000], float32[1, 384, 3000], float32[1, 384, 3000]",1,"cpu0",18394.3,"multiply",0.00133348
"float32[1, 384, 3000], float32[1, 384, 3000]",1,"cpu0",15991.8,"multiply1",0.00115931
"float32[1, 384, 3000], float32[384, 384, 3], float32[1, 384, 1500]",1,"cpu0",1.61493e+07,"conv1d1",1.17073
"float32[1, 384, 1500], float32[1, 384, 1], float32[1, 384, 1500]",1,"cpu0",8015.42,"add2",0.00058107
"float32[1, 384, 1500], float32[1, 384, 1500]",1,"cpu0",8040.72,"divide1",0.000582904
"float32[1, 384, 1500], float32[1, 384, 1500]",1,"cpu0",55141,"erf1",0.00399739
"float32[1, 384, 1500], float32[1, 384, 1500]",1,"cpu0",8009.13,"add3",0.000580614
"float32[1, 384, 1500], float32[1, 384, 1500], float32[1, 384, 1500]",1,"cpu0",9207.84,"multiply2",0.000667513
"float32[1, 384, 1500], float32[1, 384, 1500]",1,"cpu0",8083.09,"multiply3",0.000585976
"float32[1, 384, 1500], float32[1, 1500, 384]",1,"cpu0",23121.7,"transpose",0.00167619
"float32[1, 1500, 384], float32[1500, 384], float32[1, 1500, 384]",1,"cpu0",9322.59,"add4",0.000675832
"float32[1, 1500, 384], float32[1, 1500, 1]",1,"cpu0",11929.2,"mean",0.000864796
"float32[1, 1500, 384], float32[1, 1500, 1], float32[1, 1500, 384]",1,"cpu0",9071.21,"subtract",0.000657608
"float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",8632.82,"power",0.000625827
"float32[1, 1500, 384], float32[1, 1500, 1]",1,"cpu0",11929.5,"mean",0.000864821
"float32[1, 1500, 1], float32[1, 1500, 1]",1,"cpu0",37.709,"add5",2.73368e-06
"float32[1, 1500, 1], float32[1, 1500, 1]",1,"cpu0",43.251,"tir_sqrt",3.13544e-06
"float32[1, 1500, 384], float32[1, 1500, 1], float32[1, 1500, 384]",1,"cpu0",13574.5,"divide2",0.000984068
"float32[1, 1500, 384], float32[384], float32[1, 1500, 384]",1,"cpu0",8808.28,"multiply4",0.000638547
"float32[1, 1500, 384], float32[384], float32[1, 1500, 384]",1,"cpu0",8763.36,"add6",0.000635291
"float32[1, 1500, 384], float32[384, 384], float32[1, 1500, 384]",1,"cpu0",7.46357e+06,"matmul",0.541064
"float32[384], float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",9550.6,"add7",0.000692361
"float32[1, 1500, 384], float32[384, 384], float32[1, 1500, 384]",1,"cpu0",7.4802e+06,"matmul",0.54227
"float32[1, 1500, 384]",1,"cpu0",30.042,"vm.builtin.reshape",2.17786e-06
"float32[1, 1500, 384], float32[384, 384], float32[1, 1500, 384]",1,"cpu0",7.49082e+06,"matmul",0.54304
"float32[384], float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",9459.43,"add7",0.000685752
"float32[1, 1500, 384]",1,"cpu0",25.668,"vm.builtin.reshape",1.86078e-06
"float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",8155.47,"multiply5",0.000591222
"float32[1, 1500, 384]",1,"cpu0",27.251,"vm.builtin.reshape",1.97553e-06
"float32[1, 1500, 6, 64], float32[1, 6, 1500, 64]",1,"cpu0",2162.15,"transpose1",0.000156743
"float32[1, 1500, 6, 64], float32[1, 6, 1500, 64]",1,"cpu0",2643.96,"transpose1",0.000191671
"float32[1, 1500, 6, 64], float32[1, 6, 1500, 64]",1,"cpu0",2714.13,"transpose1",0.000196758
"float32[1, 6, 1500, 64]",1,"cpu0",26.418,"vm.builtin.reshape",1.91515e-06
"float32[1, 6, 1500, 64]",1,"cpu0",12.042,"vm.builtin.reshape",8.72973e-07
"float32[6, 1500, 64], float32[6, 64, 1500]",1,"cpu0",9829.98,"transpose2",0.000712615
"float32[6, 1500, 64], float32[6, 64, 1500], float32[6, 1500, 1500]",1,"cpu0",3.14332e+07,"matmul1",2.27872
"float32[6, 1500, 1500], float32[6, 1500, 1500]",1,"cpu0",1.67259e+06,"softmax",0.121253
"float32[1, 6, 1500, 64]",1,"cpu0",31.709,"vm.builtin.reshape",2.29871e-06
"float32[6, 1500, 1500], float32[6, 1500, 64], float32[6, 1500, 64]",1,"cpu0",2.38867e+07,"matmul2",1.73165
"float32[6, 1500, 64]",1,"cpu0",25.917,"vm.builtin.reshape",1.87883e-06
"float32[1, 6, 1500, 64], float32[1, 1500, 6, 64]",1,"cpu0",1017.7,"transpose3",7.37771e-05
"float32[1, 1500, 6, 64]",1,"cpu0",27.001,"vm.builtin.reshape",1.95741e-06
"float32[1, 1500, 384], float32[384, 384], float32[1, 1500, 384]",1,"cpu0",7.49362e+06,"matmul",0.543242
"float32[384], float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",9467.55,"add7",0.000686341
"float32[1, 1500, 384], float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",9269.75,"add8",0.000672002
"float32[1, 1500, 384], float32[1, 1500, 1]",1,"cpu0",11947,"mean",0.000866089
"float32[1, 1500, 384], float32[1, 1500, 1], float32[1, 1500, 384]",1,"cpu0",9071.17,"subtract",0.000657605
"float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",8687.03,"power",0.000629757
"float32[1, 1500, 384], float32[1, 1500, 1]",1,"cpu0",11923.5,"mean",0.00086438
"float32[1, 1500, 1], float32[1, 1500, 1]",1,"cpu0",38.001,"add5",2.75484e-06
"float32[1, 1500, 1], float32[1, 1500, 1]",1,"cpu0",43.876,"tir_sqrt",3.18075e-06
"float32[1, 1500, 384], float32[1, 1500, 1], float32[1, 1500, 384]",1,"cpu0",13632.9,"divide2",0.000988306
"float32[1, 1500, 384], float32[384], float32[1, 1500, 384]",1,"cpu0",8800.53,"multiply4",0.000637986
"float32[1, 1500, 384], float32[384], float32[1, 1500, 384]",1,"cpu0",8833.57,"add6",0.000640381
"float32[1, 1500, 384], float32[384, 1536], float32[1, 1500, 1536]",1,"cpu0",2.2193e+08,"matmul3",16.0886
"float32[1536], float32[1, 1500, 1536], float32[1, 1500, 1536]",1,"cpu0",38168.3,"add9",0.00276697
"float32[1, 1500, 1536], float32[1, 1500, 1536]",1,"cpu0",31922.2,"divide3",0.00231417
"float32[1, 1500, 1536], float32[1, 1500, 1536]",1,"cpu0",295981,"erf2",0.0214568
"float32[1, 1500, 1536], float32[1, 1500, 1536]",1,"cpu0",31919.3,"add10",0.00231396
"float32[1, 1500, 1536], float32[1, 1500, 1536], float32[1, 1500, 1536]",1,"cpu0",36979.5,"multiply6",0.00268079
"float32[1, 1500, 1536], float32[1, 1500, 1536]",1,"cpu0",31773.6,"multiply7",0.0023034
"float32[1, 1500, 1536], float32[1536, 384], float32[1, 1500, 384]",1,"cpu0",3.11838e+07,"matmul4",2.26064
"float32[384], float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",9503.89,"add7",0.000688975
"float32[1, 1500, 384], float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",9217.92,"add8",0.000668244
"float32[1, 1500, 384], float32[1, 1500, 1]",1,"cpu0",11877.4,"mean",0.000861039
"float32[1, 1500, 384], float32[1, 1500, 1], float32[1, 1500, 384]",1,"cpu0",9094.08,"subtract",0.000659266
"float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",8626.19,"power",0.000625347
"float32[1, 1500, 384], float32[1, 1500, 1]",1,"cpu0",11942.1,"mean",0.00086573
"float32[1, 1500, 1], float32[1, 1500, 1]",1,"cpu0",33.876,"add5",2.45581e-06
"float32[1, 1500, 1], float32[1, 1500, 1]",1,"cpu0",47.835,"tir_sqrt",3.46775e-06
"float32[1, 1500, 384], float32[1, 1500, 1], float32[1, 1500, 384]",1,"cpu0",13684.8,"divide2",0.000992064
"float32[1, 1500, 384], float32[384], float32[1, 1500, 384]",1,"cpu0",8775.24,"multiply4",0.000636152
"float32[1, 1500, 384], float32[384], float32[1, 1500, 384]",1,"cpu0",8899.7,"add6",0.000645175
