Argument Shapes,Count,Device,Duration (us),Name,Percent
"int64[1, 1]",1,"cpu0",16.918,"vm.builtin.check_tensor_info",0.000814185
"float32[1, 6, 4, 64]",1,"cpu0",9,"vm.builtin.check_tensor_info",0.000433128
"float32[1, 6, 4, 64]",1,"cpu0",10.417,"vm.builtin.check_tensor_info",0.000501322
"float32[1, 6, 1500, 64]",1,"cpu0",6.791,"vm.builtin.check_tensor_info",0.000326819
"float32[1, 6, 1500, 64]",1,"cpu0",9.084,"vm.builtin.check_tensor_info",0.000437171
"float32[1, 6, 4, 64]",1,"cpu0",6.292,"vm.builtin.check_tensor_info",0.000302805
"float32[1, 6, 4, 64]",1,"cpu0",6,"vm.builtin.check_tensor_info",0.000288752
"float32[1, 6, 1500, 64]",1,"cpu0",5.042,"vm.builtin.check_tensor_info",0.000242648
"float32[1, 6, 1500, 64]",1,"cpu0",6.042,"vm.builtin.check_tensor_info",0.000290773
"float32[1, 6, 4, 64]",1,"cpu0",7.167,"vm.builtin.check_tensor_info",0.000344914
"float32[1, 6, 4, 64]",1,"cpu0",5.626,"vm.builtin.check_tensor_info",0.000270753
"float32[1, 6, 1500, 64]",1,"cpu0",5.292,"vm.builtin.check_tensor_info",0.000254679
"float32[1, 6, 1500, 64]",1,"cpu0",5.458,"vm.builtin.check_tensor_info",0.000262668
"float32[1, 6, 4, 64]",1,"cpu0",5.042,"vm.builtin.check_tensor_info",0.000242648
"float32[1, 6, 4, 64]",1,"cpu0",5.417,"vm.builtin.check_tensor_info",0.000260695
"float32[1, 6, 1500, 64]",1,"cpu0",5.167,"vm.builtin.check_tensor_info",0.000248664
"float32[1, 6, 1500, 64]",1,"cpu0",6.584,"vm.builtin.check_tensor_info",0.000316857
"int64[1, 1], int64[5]",1,"cpu0",9.459,"vm.builtin.match_shape",0.000455218
"float32[1, 6, 4, 64], int64[5]",1,"cpu0",8.541,"vm.builtin.match_shape",0.000411039
"float32[1, 6, 4, 64], int64[5]",1,"cpu0",7.542,"vm.builtin.match_shape",0.000362961
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.417,"vm.builtin.match_shape",0.00030882
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.501,"vm.builtin.match_shape",0.000312863
"float32[1, 6, 4, 64], int64[5]",1,"cpu0",7.625,"vm.builtin.match_shape",0.000366956
