Name,Total Duration (us),Total Count
matmul3,954244777.1000004,160
matmul1,129724989.546,8
matmul4,128925092.40000007,156
matmul,124945940.66999899,928
matmul2,95937664.668,8
matmul7,36476189.4,41
matmul5,22197306.1,152
conv1d1,16167500.0,1
softmax,6720357.501,8
conv1d,5051030.0,1
matmul6,3845719.3,152
transpose3,1502534.7749999997,160
erf2,1119258.0,4
matmul8,976278.0,1
mean,232064.0359999964,1006
softmax1,177994.16999999995,152
add7,152867.522,20
add9,152059.1,4
multiply6,146557.1,4
divide3,127284.1,4
multiply7,127037.7,4
add10,127030.20000000001,4
add6,124909.00900000053,161
divide2,123926.2,9
erf,119278.05799999998,153
vm.builtin.call_tir_dyn,97388.1259999999,629
subtract,90101.09400000091,503
power,85386.84500000089,503
multiply4,79427.70000000001,9
add8,73879.78400000001,12
erf1,54839.8,1
vm.builtin.reshape,40950.498000000276,3130
transpose2,39429.32,4
transpose4,38655.93,4
multiply5,32019.699999999997,4
add3,29560.801000000116,913
multiply,26609.24600000003,495
transpose1,26512.830000000005,12
divide,25336.82700000008,495
transpose,23414.6,1
vm.builtin.make_shape,21254.0900000001,2072
multiply1,20890.423000000003,305
add1,20702.397000000026,495
add4,17429.28300000004,449
add,16604.26,39
add2,16461.759000000042,495
multiply2,14007.599,153
divide1,12619.468999999994,153
multiply3,12497.339000000005,153
concatenate,11651.504000000003,296
vm.builtin.match_shape,8079.713000000017,928
add5,6223.144999999998,169
tir_sqrt,5005.530999999994,503
vm.builtin.check_tensor_info,4415.485999999996,632
vm.builtin.make_tuple,1325.5049999999994,38
take,639.7309999999998,38
shape_func,250.38200000000003,37
