Argument Shapes,Count,Device,Duration (us),Name,Percent
"int64[1, 1]",1,"cpu0",21.292,"vm.builtin.check_tensor_info",0.000117228
"float32[1, 1500, 384]",1,"cpu0",11.625,"vm.builtin.check_tensor_info",6.40039e-05
"int64[1, 1]",1,"cpu0",14.542,"vm.builtin.match_shape",8.00641e-05
"float32[1, 1500, 384]",1,"cpu0",8.917,"vm.builtin.match_shape",4.90945e-05
"int64[1, 1]",1,"cpu0",19.417,"vm.builtin.reshape",0.000106904
"float32[51865, 384], int64[1, 1], float32[1, 1, 384]",1,"cpu0",17.709,"take",9.75007e-05
"float32[1, 1, 384], float32[1, 384], float32[1, 1, 384]",1,"cpu0",16.292,"add",8.96991e-05
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",18.834,"mean",0.000103695
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",18.292,"subtract",0.000100711
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",15.084,"power",8.30482e-05
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",13.542,"mean",7.45584e-05
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",8,"add1",4.40457e-05
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",8.25,"tir_sqrt",4.54222e-05
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",18.667,"divide",0.000102775
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",18.584,"multiply",0.000102318
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",15.709,"add2",8.64893e-05
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",1528.05,"fused_relax_matmul_bananapi",0.00841301
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",29.085,"add3",0.000160134
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",2048.44,"fused_relax_matmul_bananapi",0.0112782
"float32[1, 1, 384]",1,"cpu0",29.126,"vm.builtin.reshape",0.000160359
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",1496.51,"fused_relax_matmul_bananapi",0.00823935
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",26.251,"add3",0.000144531
"float32[1, 1, 384]",1,"cpu0",20.709,"vm.builtin.reshape",0.000114018
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",19.209,"multiply1",0.000105759
"float32[1, 1, 384]",1,"cpu0",10.667,"vm.builtin.reshape",5.87295e-05
"float32[1, 1, 6, 64]",1,"cpu0",9.917,"vm.builtin.reshape",5.46002e-05
"float32[1, 1, 6, 64]",1,"cpu0",8.25,"vm.builtin.reshape",4.54222e-05
"float32[1, 1, 6, 64]",1,"cpu0",10.917,"vm.builtin.reshape",6.01059e-05
"float32[1, 6, 1, 64]",1,"cpu0",10.875,"vm.builtin.reshape",5.98747e-05
"float32[1, 6, 1, 64]",1,"cpu0",9.376,"vm.builtin.reshape",5.16216e-05
"float32[6, 1, 64]",1,"cpu0",8.75,"vm.builtin.reshape",4.8175e-05
"float32[6, 1, 64], float32[6, 64, 1], float32[6, 1, 1]",1,"cpu0",32.252,"fused_relax_matmul1_bananapi",0.00017757
"float32[6, 1, 1]",1,"cpu0",11.084,"vm.builtin.reshape",6.10254e-05
"float32[1, 6, 1, 1], float32[1, 1, 1, 1], float32[1, 6, 1, 1]",1,"cpu0",10,"add4",5.50572e-05
"float32[1, 6, 1, 1]",1,"cpu0",9.125,"vm.builtin.reshape",5.02397e-05
"float32[6, 1, 1], float32[6, 1, 1]",1,"cpu0",12.917,"softmax",7.11173e-05
"float32[1, 6, 1, 64]",1,"cpu0",7.458,"vm.builtin.reshape",4.10616e-05
"float32[6, 1, 1], float32[6, 1, 64], float32[6, 1, 64]",1,"cpu0",23.668,"fused_relax_matmul2_bananapi",0.000130309
"float32[6, 1, 64]",1,"cpu0",10.333,"vm.builtin.reshape",5.68906e-05
"float32[1, 6, 1, 64]",1,"cpu0",7.167,"vm.builtin.reshape",3.94595e-05
"float32[1, 1, 6, 64]",1,"cpu0",6.208,"vm.builtin.reshape",3.41795e-05
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",1571.47,"fused_relax_matmul_bananapi",0.00865207
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",30.251,"add3",0.000166553
"float32[1, 1, 384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",18.792,"add5",0.000103463
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",23.293,"mean",0.000128245
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",16.751,"subtract",9.22262e-05
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",15.709,"power",8.64893e-05
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",14.543,"mean",8.00696e-05
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",8.709,"add1",4.79493e-05
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",10.792,"tir_sqrt",5.94177e-05
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",20.251,"divide",0.000111496
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",17.459,"multiply",9.61243e-05
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",15.293,"add2",8.41989e-05
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",1476.09,"fused_relax_matmul_bananapi",0.00812694
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",25.126,"add3",0.000138337
"float32[1, 1500, 384], float32[384, 384], float32[1, 1500, 384]",1,"cpu0",2.10667e+06,"fused_relax_matmul3_bananapi",11.5987
"float32[1, 1500, 384]",1,"cpu0",33.835,"vm.builtin.reshape",0.000186286
"float32[1, 1500, 384], float32[384, 384], float32[1, 1500, 384]",1,"cpu0",2.10678e+06,"fused_relax_matmul3_bananapi",11.5993
"float32[384], float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",13024.7,"add6",0.0717102
"float32[1, 1500, 384]",1,"cpu0",26.626,"vm.builtin.reshape",0.000146595
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",18.417,"multiply1",0.000101399
"float32[1, 1, 384]",1,"cpu0",12.876,"vm.builtin.reshape",7.08916e-05
"float32[1, 1, 6, 64]",1,"cpu0",12.5,"vm.builtin.reshape",6.88214e-05
"float32[1, 1500, 6, 64], float32[1, 6, 1500, 64]",1,"cpu0",5607.06,"transpose3",0.0308709
"float32[1, 1500, 6, 64], float32[1, 6, 1500, 64]",1,"cpu0",7339.62,"transpose3",0.0404099
"float32[1, 6, 1500, 64]",1,"cpu0",24.625,"vm.builtin.reshape",0.000135578
"float32[1, 6, 1, 64]",1,"cpu0",11.042,"vm.builtin.reshape",6.07941e-05
"float32[6, 1500, 64], float32[6, 64, 1500]",1,"cpu0",9649.16,"transpose4",0.0531255
"float32[6, 1, 64], float32[6, 64, 1500], float32[6, 1, 1500]",1,"cpu0",12002.6,"fused_relax_matmul4_bananapi",0.066083
"float32[6, 1, 1500], float32[6, 1, 1500]",1,"cpu0",1182.75,"softmax1",0.00651187
"float32[1, 6, 1500, 64]",1,"cpu0",24.042,"vm.builtin.reshape",0.000132368
"float32[6, 1, 1500], float32[6, 1500, 64], float32[6, 1, 64]",1,"cpu0",5024,"fused_relax_matmul5_bananapi",0.0276607
"float32[6, 1, 64]",1,"cpu0",33.459,"vm.builtin.reshape",0.000184216
"float32[1, 6, 1, 64]",1,"cpu0",12.876,"vm.builtin.reshape",7.08916e-05
"float32[1, 1, 6, 64]",1,"cpu0",11.334,"vm.builtin.reshape",6.24018e-05
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",1516.13,"fused_relax_matmul_bananapi",0.0083474
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",34.043,"add3",0.000187431
"float32[1, 1, 384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",23.001,"add5",0.000126637
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",18.251,"mean",0.000100485
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",16.584,"subtract",9.13068e-05
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",14.125,"power",7.77682e-05
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",16.793,"mean",9.24575e-05
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",13.625,"add1",7.50154e-05
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",12.5,"tir_sqrt",6.88214e-05
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",19.418,"divide",0.00010691
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",17.209,"multiply",9.47479e-05
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",14.834,"add2",8.16718e-05
"float32[1, 1, 384], float32[384, 1536], float32[1, 1, 1536]",1,"cpu0",123035,"fused_relax_matmul6_bananapi",0.677394
"float32[1536], float32[1, 1, 1536], float32[1, 1, 1536]",1,"cpu0",48.002,"add7",0.000264285
"float32[1, 1, 1536], float32[1, 1, 1536]",1,"cpu0",33.459,"divide1",0.000184216
"float32[1, 1, 1536], float32[1, 1, 1536]",1,"cpu0",278.259,"erf",0.00153201
"float32[1, 1, 1536], float32[1, 1, 1536]",1,"cpu0",29.792,"add8",0.000164026
"float32[1, 1, 1536], float32[1, 1, 1536], float32[1, 1, 1536]",1,"cpu0",32.46,"multiply2",0.000178716
"float32[1, 1, 1536], float32[1, 1, 1536]",1,"cpu0",30.376,"multiply3",0.000167242
"float32[1, 1, 1536], float32[1536, 384], float32[1, 1, 384]",1,"cpu0",11124.6,"fused_relax_matmul7_bananapi",0.0612488
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",26.792,"add3",0.000147509
"float32[1, 1, 384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",22.625,"add5",0.000124567
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",20.584,"mean",0.00011333
