Argument Shapes,Count,Device,Duration (us),Name,Percent
"float32[1, 80, 3000]",1,"cpu0",26.126,"vm.builtin.check_tensor_info",2.82932e-06
"float32[1, 80, 3000]",1,"cpu0",17.875,"vm.builtin.match_shape",1.93577e-06
"float32[1, 80, 3000], float32[384, 80, 3], float32[1, 384, 3000]",1,"cpu0",5.04136e+06,"conv1d",0.545955
"float32[1, 384, 3000], float32[1, 384, 1], float32[1, 384, 3000]",1,"cpu0",15993.7,"add",0.00173204
"float32[1, 384, 3000], float32[1, 384, 3000]",1,"cpu0",16005.6,"divide",0.00173333
"float32[1, 384, 3000], float32[1, 384, 3000]",1,"cpu0",84484,"erf",0.0091492
"float32[1, 384, 3000], float32[1, 384, 3000]",1,"cpu0",15957,"add1",0.00172807
"float32[1, 384, 3000], float32[1, 384, 3000], float32[1, 384, 3000]",1,"cpu0",19225.8,"multiply",0.00208206
"float32[1, 384, 3000], float32[1, 384, 3000]",1,"cpu0",15971.7,"multiply1",0.00172966
"float32[1, 384, 3000], float32[384, 384, 3], float32[1, 384, 1500]",1,"cpu0",1.62988e+07,"conv1d1",1.76508
"float32[1, 384, 1500], float32[1, 384, 1], float32[1, 384, 1500]",1,"cpu0",8031.7,"add2",0.000869793
"float32[1, 384, 1500], float32[1, 384, 1500]",1,"cpu0",8079.83,"divide1",0.000875005
"float32[1, 384, 1500], float32[1, 384, 1500]",1,"cpu0",54348.1,"erf1",0.00588563
"float32[1, 384, 1500], float32[1, 384, 1500]",1,"cpu0",8077.49,"add3",0.000874753
"float32[1, 384, 1500], float32[1, 384, 1500], float32[1, 384, 1500]",1,"cpu0",9218.37,"multiply2",0.000998304
"float32[1, 384, 1500], float32[1, 384, 1500]",1,"cpu0",8028.41,"multiply3",0.000869437
"float32[1, 384, 1500], float32[1, 1500, 384]",1,"cpu0",22907.7,"transpose",0.00248079
"float32[1, 1500, 384], float32[1500, 384], float32[1, 1500, 384]",1,"cpu0",9247.33,"add4",0.00100144
"float32[1, 1500, 384], float32[1, 1500, 1]",1,"cpu0",11942.7,"mean",0.00129334
"float32[1, 1500, 384], float32[1, 1500, 1], float32[1, 1500, 384]",1,"cpu0",9053.99,"subtract",0.000980502
"float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",8625.47,"power",0.000934096
"float32[1, 1500, 384], float32[1, 1500, 1]",1,"cpu0",11956.4,"mean",0.00129482
"float32[1, 1500, 1], float32[1, 1500, 1]",1,"cpu0",42.835,"add5",4.63882e-06
"float32[1, 1500, 1], float32[1, 1500, 1]",1,"cpu0",43.127,"tir_sqrt",4.67044e-06
"float32[1, 1500, 384], float32[1, 1500, 1], float32[1, 1500, 384]",1,"cpu0",13744.4,"divide2",0.00148846
"float32[1, 1500, 384], float32[384], float32[1, 1500, 384]",1,"cpu0",9259.24,"multiply4",0.00100273
"float32[1, 1500, 384], float32[384], float32[1, 1500, 384]",1,"cpu0",8853.94,"add6",0.000958838
"float32[1, 1500, 384], float32[384, 384], float32[1, 1500, 384]",1,"cpu0",2.12721e+06,"fused_relax_matmul_bananapi",0.230366
"float32[384], float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",9501.75,"add7",0.00102899
"float32[1, 1500, 384], float32[384, 384], float32[1, 1500, 384]",1,"cpu0",2.09512e+06,"fused_relax_matmul_bananapi",0.226891
"float32[1, 1500, 384]",1,"cpu0",27.584,"vm.builtin.reshape",2.98721e-06
"float32[1, 1500, 384], float32[384, 384], float32[1, 1500, 384]",1,"cpu0",2.11189e+06,"fused_relax_matmul_bananapi",0.228707
"float32[384], float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",9541.71,"add7",0.00103332
"float32[1, 1500, 384]",1,"cpu0",25.085,"vm.builtin.reshape",2.71658e-06
"float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",8050.28,"multiply5",0.000871806
"float32[1, 1500, 384]",1,"cpu0",28.168,"vm.builtin.reshape",3.05046e-06
"float32[1, 1500, 6, 64], float32[1, 6, 1500, 64]",1,"cpu0",3155.49,"transpose1",0.000341724
"float32[1, 1500, 6, 64], float32[1, 6, 1500, 64]",1,"cpu0",3208.11,"transpose1",0.000347423
"float32[1, 1500, 6, 64], float32[1, 6, 1500, 64]",1,"cpu0",2826.72,"transpose1",0.00030612
"float32[1, 6, 1500, 64]",1,"cpu0",29.584,"vm.builtin.reshape",3.2038e-06
"float32[1, 6, 1500, 64]",1,"cpu0",16.917,"vm.builtin.reshape",1.83203e-06
"float32[6, 1500, 64], float32[6, 64, 1500]",1,"cpu0",10058.4,"transpose2",0.00108928
"float32[6, 1500, 64], float32[6, 64, 1500], float32[6, 1500, 1500]",1,"cpu0",8.06706e+06,"fused_relax_matmul1_bananapi",0.873622
"float32[6, 1500, 1500], float32[6, 1500, 1500]",1,"cpu0",1.66827e+06,"softmax",0.180665
"float32[1, 6, 1500, 64]",1,"cpu0",30.376,"vm.builtin.reshape",3.28957e-06
"float32[6, 1500, 1500], float32[6, 1500, 64], float32[6, 1500, 64]",1,"cpu0",7.32905e+06,"fused_relax_matmul2_bananapi",0.7937
"float32[6, 1500, 64]",1,"cpu0",25.918,"vm.builtin.reshape",2.80679e-06
"float32[1, 6, 1500, 64], float32[1, 1500, 6, 64]",1,"cpu0",1084.12,"transpose3",0.000117405
"float32[1, 1500, 6, 64]",1,"cpu0",29.001,"vm.builtin.reshape",3.14066e-06
"float32[1, 1500, 384], float32[384, 384], float32[1, 1500, 384]",1,"cpu0",1.94518e+06,"fused_relax_matmul_bananapi",0.210653
"float32[384], float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",9543.21,"add7",0.00103348
"float32[1, 1500, 384], float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",9284.29,"add8",0.00100544
"float32[1, 1500, 384], float32[1, 1500, 1]",1,"cpu0",11925.5,"mean",0.00129148
"float32[1, 1500, 384], float32[1, 1500, 1], float32[1, 1500, 384]",1,"cpu0",9116.99,"subtract",0.000987325
"float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",8629.6,"power",0.000934543
"float32[1, 1500, 384], float32[1, 1500, 1]",1,"cpu0",11926,"mean",0.00129153
"float32[1, 1500, 1], float32[1, 1500, 1]",1,"cpu0",41.002,"add5",4.44031e-06
"float32[1, 1500, 1], float32[1, 1500, 1]",1,"cpu0",46.418,"tir_sqrt",5.02684e-06
"float32[1, 1500, 384], float32[1, 1500, 1], float32[1, 1500, 384]",1,"cpu0",14365.7,"divide2",0.00155574
"float32[1, 1500, 384], float32[384], float32[1, 1500, 384]",1,"cpu0",8827.56,"multiply4",0.000955981
"float32[1, 1500, 384], float32[384], float32[1, 1500, 384]",1,"cpu0",8859.52,"add6",0.000959442
"float32[1, 1500, 384], float32[384, 1536], float32[1, 1500, 1536]",1,"cpu0",1.8319e+08,"fused_relax_matmul3_bananapi",19.8386
"float32[1536], float32[1, 1500, 1536], float32[1, 1500, 1536]",1,"cpu0",38039.7,"add9",0.00411951
"float32[1, 1500, 1536], float32[1, 1500, 1536]",1,"cpu0",31894.7,"divide3",0.00345404
"float32[1, 1500, 1536], float32[1, 1500, 1536]",1,"cpu0",290678,"erf2",0.031479
"float32[1, 1500, 1536], float32[1, 1500, 1536]",1,"cpu0",31871.8,"add10",0.00345156
"float32[1, 1500, 1536], float32[1, 1500, 1536], float32[1, 1500, 1536]",1,"cpu0",39916.3,"multiply6",0.00432274
"float32[1, 1500, 1536], float32[1, 1500, 1536]",1,"cpu0",31739.5,"multiply7",0.00343723
"float32[1, 1500, 1536], float32[1536, 384], float32[1, 1500, 384]",1,"cpu0",1.48131e+07,"fused_relax_matmul4_bananapi",1.60419
"float32[384], float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",9500.24,"add7",0.00102883
"float32[1, 1500, 384], float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",9192.06,"add8",0.000995455
"float32[1, 1500, 384], float32[1, 1500, 1]",1,"cpu0",11953.7,"mean",0.00129452
"float32[1, 1500, 384], float32[1, 1500, 1], float32[1, 1500, 384]",1,"cpu0",9171.35,"subtract",0.000993212
"float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",8590,"power",0.000930255
"float32[1, 1500, 384], float32[1, 1500, 1]",1,"cpu0",11965.7,"mean",0.00129582
"float32[1, 1500, 1], float32[1, 1500, 1]",1,"cpu0",38.167,"add5",4.1333e-06
"float32[1, 1500, 1], float32[1, 1500, 1]",1,"cpu0",52.584,"tir_sqrt",5.69459e-06
"float32[1, 1500, 384], float32[1, 1500, 1], float32[1, 1500, 384]",1,"cpu0",14545.9,"divide2",0.00157525
"float32[1, 1500, 384], float32[384], float32[1, 1500, 384]",1,"cpu0",8808.47,"multiply4",0.000953914
"float32[1, 1500, 384], float32[384], float32[1, 1500, 384]",1,"cpu0",8848.8,"add6",0.000958282
"float32[1, 1500, 384], float32[384, 384], float32[1, 1500, 384]",1,"cpu0",1.95582e+06,"fused_relax_matmul_bananapi",0.211806
"float32[384], float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",9564.74,"add7",0.00103581
"float32[1, 1500, 384], float32[384, 384], float32[1, 1500, 384]",1,"cpu0",1.95541e+06,"fused_relax_matmul_bananapi",0.211761
"float32[1, 1500, 384]",1,"cpu0",34.126,"vm.builtin.reshape",3.69568e-06
"float32[1, 1500, 384], float32[384, 384], float32[1, 1500, 384]",1,"cpu0",1.99654e+06,"fused_relax_matmul_bananapi",0.216215
"float32[384], float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",9531.32,"add7",0.00103219
"float32[1, 1500, 384]",1,"cpu0",25.709,"vm.builtin.reshape",2.78416e-06
"float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",8015.24,"multiply5",0.000868011
"float32[1, 1500, 384]",1,"cpu0",27.292,"vm.builtin.reshape",2.95559e-06
"float32[1, 1500, 6, 64], float32[1, 6, 1500, 64]",1,"cpu0",2647.9,"transpose1",0.000286754
"float32[1, 1500, 6, 64], float32[1, 6, 1500, 64]",1,"cpu0",3813.01,"transpose1",0.00041293
"float32[1, 1500, 6, 64], float32[1, 6, 1500, 64]",1,"cpu0",2615.57,"transpose1",0.000283253
"float32[1, 6, 1500, 64]",1,"cpu0",32.584,"vm.builtin.reshape",3.52869e-06
"float32[1, 6, 1500, 64]",1,"cpu0",13.209,"vm.builtin.reshape",1.43047e-06
"float32[6, 1500, 64], float32[6, 64, 1500]",1,"cpu0",10392.2,"transpose2",0.00112543
"float32[6, 1500, 64], float32[6, 64, 1500], float32[6, 1500, 1500]",1,"cpu0",7.8185e+06,"fused_relax_matmul1_bananapi",0.846704
"float32[6, 1500, 1500], float32[6, 1500, 1500]",1,"cpu0",1.66929e+06,"softmax",0.180775
"float32[1, 6, 1500, 64]",1,"cpu0",28.793,"vm.builtin.reshape",3.11814e-06
"float32[6, 1500, 1500], float32[6, 1500, 64], float32[6, 1500, 64]",1,"cpu0",6.41288e+06,"fused_relax_matmul2_bananapi",0.694484
"float32[6, 1500, 64]",1,"cpu0",27.792,"vm.builtin.reshape",3.00974e-06
"float32[1, 6, 1500, 64], float32[1, 1500, 6, 64]",1,"cpu0",1014.69,"transpose3",0.000109886
"float32[1, 1500, 6, 64]",1,"cpu0",28.334,"vm.builtin.reshape",3.06843e-06
"float32[1, 1500, 384], float32[384, 384], float32[1, 1500, 384]",1,"cpu0",1.95248e+06,"fused_relax_matmul_bananapi",0.211444
"float32[384], float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",9539.53,"add7",0.00103308
"float32[1, 1500, 384], float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",9274.53,"add8",0.00100439
