Argument Shapes,Count,Device,Duration (us),Name,Percent
"int64[1, 1]",1,"cpu0",23.46,"vm.builtin.check_tensor_info",4.68109e-05
"float32[1, 1500, 384]",1,"cpu0",11.084,"vm.builtin.check_tensor_info",2.21165e-05
"int64[1, 1]",1,"cpu0",15.75,"vm.builtin.match_shape",3.14268e-05
"float32[1, 1500, 384]",1,"cpu0",9.376,"vm.builtin.match_shape",1.87084e-05
"int64[1, 1]",1,"cpu0",16.376,"vm.builtin.reshape",3.26758e-05
"float32[51865, 384], int64[1, 1], float32[1, 1, 384]",1,"cpu0",17.917,"take",3.57507e-05
"float32[1, 1, 384], float32[1, 384], float32[1, 1, 384]",1,"cpu0",18.292,"add",3.64989e-05
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",19.501,"mean",3.89113e-05
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",17.751,"subtract",3.54194e-05
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",15.001,"power",2.99322e-05
"float32[1, 1, 384], float32[1, 1, 1]",1,"cpu0",14.209,"mean",2.83519e-05
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",8.708,"add1",1.73755e-05
"float32[1, 1, 1], float32[1, 1, 1]",1,"cpu0",9,"tir_sqrt",1.79581e-05
"float32[1, 1, 384], float32[1, 1, 1], float32[1, 1, 384]",1,"cpu0",19.292,"divide",3.84943e-05
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",17.417,"multiply",3.4753e-05
"float32[1, 1, 384], float32[384], float32[1, 1, 384]",1,"cpu0",16.084,"add2",3.20932e-05
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4936.86,"fused_relax_matmul_bananapi",0.00985077
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",25.876,"add3",5.16317e-05
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4888.82,"fused_relax_matmul_bananapi",0.00975491
"float32[1, 1, 384]",1,"cpu0",33.251,"vm.builtin.reshape",6.63474e-05
"float32[1, 1, 384], float32[384, 384], float32[1, 1, 384]",1,"cpu0",4865.11,"fused_relax_matmul_bananapi",0.0097076
"float32[384], float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",25.584,"add3",5.1049e-05
"float32[1, 1, 384]",1,"cpu0",17.25,"vm.builtin.reshape",3.44198e-05
"float32[1, 1, 384], float32[1, 1, 384]",1,"cpu0",19.001,"multiply1",3.79136e-05
"float32[1, 1, 384]",1,"cpu0",10.709,"vm.builtin.reshape",2.13682e-05
"float32[1, 1, 6, 64]",1,"cpu0",9.875,"vm.builtin.reshape",1.97041e-05
"float32[1, 1, 6, 64]",1,"cpu0",10.125,"vm.builtin.reshape",2.02029e-05
"float32[1, 1, 6, 64]",1,"cpu0",8.209,"vm.builtin.reshape",1.63798e-05
"float32[1, 6, 1, 64]",1,"cpu0",9.501,"vm.builtin.reshape",1.89578e-05
"float32[1, 6, 1, 64]",1,"cpu0",9.25,"vm.builtin.reshape",1.8457e-05
"float32[6, 1, 64]",1,"cpu0",8,"vm.builtin.reshape",1.59628e-05
"float32[6, 1, 64], float32[6, 64, 1], float32[6, 1, 1]",1,"cpu0",136.798,"fused_relax_matmul1_bananapi",0.00027296
"float32[6, 1, 1]",1,"cpu0",11.959,"vm.builtin.reshape",2.38624e-05
"float32[1, 6, 1, 1], float32[1, 1, 1, 1], float32[1, 6, 1, 1]",1,"cpu0",11.959,"add4",2.38624e-05
"float32[1, 6, 1, 1]",1,"cpu0",6.959,"vm.builtin.reshape",1.38856e-05
"float32[6, 1, 1], float32[6, 1, 1]",1,"cpu0",14.334,"softmax",2.86013e-05
"float32[1, 6, 1, 64]",1,"cpu0",8,"vm.builtin.reshape",1.59628e-05
"float32[6, 1, 1], float32[6, 1, 64], float32[6, 1, 64]",1,"cpu0",47.711,"fused_relax_matmul2_bananapi",9.52001e-05
"float32[6, 1, 64]",1,"cpu0",9.625,"vm.builtin.reshape",1.92052e-05
"float32[1, 6, 1, 64]",1,"cpu0",8.083,"vm.builtin.reshape",1.61284e-05
