Argument Shapes,Count,Device,Duration (us),Name,Percent
"float32[1, 80, 3000]",1,"cpu0",22.543,"vm.builtin.check_tensor_info",4.33453e-06
"float32[1, 80, 3000]",1,"cpu0",17.125,"vm.builtin.match_shape",3.29276e-06
"float32[1, 80, 3000], float32[384, 80, 3], float32[1, 384, 3000]",1,"cpu0",5.115e+06,"conv1d",0.983504
"float32[1, 384, 3000], float32[1, 384, 1], float32[1, 384, 3000]",1,"cpu0",16303.8,"add",0.00313486
"float32[1, 384, 3000], float32[1, 384, 3000]",1,"cpu0",16230.4,"divide",0.00312076
"float32[1, 384, 3000], float32[1, 384, 3000]",1,"cpu0",86916.8,"erf",0.0167122
"float32[1, 384, 3000], float32[1, 384, 3000]",1,"cpu0",16013.5,"add1",0.00307905
"float32[1, 384, 3000], float32[1, 384, 3000], float32[1, 384, 3000]",1,"cpu0",18445.2,"multiply",0.0035466
"float32[1, 384, 3000], float32[1, 384, 3000]",1,"cpu0",15926.2,"multiply1",0.00306226
"float32[1, 384, 3000], float32[384, 384, 3], float32[1, 384, 1500]",1,"cpu0",1.64637e+07,"conv1d1",3.16561
"float32[1, 384, 1500], float32[1, 384, 1], float32[1, 384, 1500]",1,"cpu0",8038.85,"add2",0.0015457
"float32[1, 384, 1500], float32[1, 384, 1500]",1,"cpu0",8066.85,"divide1",0.00155108
"float32[1, 384, 1500], float32[1, 384, 1500]",1,"cpu0",55526.1,"erf1",0.0106765
"float32[1, 384, 1500], float32[1, 384, 1500]",1,"cpu0",8089.39,"add3",0.00155541
"float32[1, 384, 1500], float32[1, 384, 1500], float32[1, 384, 1500]",1,"cpu0",9249.85,"multiply2",0.00177854
"float32[1, 384, 1500], float32[1, 384, 1500]",1,"cpu0",8036.02,"multiply3",0.00154515
"float32[1, 384, 1500], float32[1, 1500, 384]",1,"cpu0",23979,"transpose",0.00461064
"float32[1, 1500, 384], float32[1500, 384], float32[1, 1500, 384]",1,"cpu0",9416.11,"add4",0.00181051
"float32[1, 1500, 384], float32[1, 1500, 1]",1,"cpu0",11952,"mean",0.00229811
"float32[1, 1500, 384], float32[1, 1500, 1], float32[1, 1500, 384]",1,"cpu0",9062.05,"subtract",0.00174244
"float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",8608.7,"power",0.00165527
"float32[1, 1500, 384], float32[1, 1500, 1]",1,"cpu0",11951.7,"mean",0.00229805
"float32[1, 1500, 1], float32[1, 1500, 1]",1,"cpu0",40.626,"add5",7.81149e-06
"float32[1, 1500, 1], float32[1, 1500, 1]",1,"cpu0",43.46,"tir_sqrt",8.35641e-06
"float32[1, 1500, 384], float32[1, 1500, 1], float32[1, 1500, 384]",1,"cpu0",13573.8,"divide2",0.00260994
"float32[1, 1500, 384], float32[384], float32[1, 1500, 384]",1,"cpu0",8841.88,"multiply4",0.0017001
"float32[1, 1500, 384], float32[384], float32[1, 1500, 384]",1,"cpu0",8783.83,"add6",0.00168894
"float32[1, 1500, 384], float32[384, 384], float32[1, 1500, 384]",1,"cpu0",6.13707e+06,"fused_relax_matmul_bananapi",1.18002
"float32[384], float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",9514.07,"add7",0.00182935
"float32[1, 1500, 384], float32[384, 384], float32[1, 1500, 384]",1,"cpu0",6.13708e+06,"fused_relax_matmul_bananapi",1.18003
"float32[1, 1500, 384]",1,"cpu0",30.042,"vm.builtin.reshape",5.77642e-06
"float32[1, 1500, 384], float32[384, 384], float32[1, 1500, 384]",1,"cpu0",6.13653e+06,"fused_relax_matmul_bananapi",1.17992
"float32[384], float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",9468.94,"add7",0.00182067
"float32[1, 1500, 384]",1,"cpu0",24.21,"vm.builtin.reshape",4.65506e-06
"float32[1, 1500, 384], float32[1, 1500, 384]",1,"cpu0",8013.31,"multiply5",0.00154078
"float32[1, 1500, 384]",1,"cpu0",27.626,"vm.builtin.reshape",5.31188e-06
"float32[1, 1500, 6, 64], float32[1, 6, 1500, 64]",1,"cpu0",1528.18,"transpose1",0.000293835
"float32[1, 1500, 6, 64], float32[1, 6, 1500, 64]",1,"cpu0",2722.76,"transpose1",0.000523527
