Name,Total Duration (us),Total Count
matmul3,64414804.69999998,156
matmul7,36609328.3,41
matmul5,22062701.5,152
conv1d1,16079000.0,1
fused_relax_matmul3_bananapi,10853950.0,4
fused_relax_matmul_bananapi,8940161.0,16
fused_relax_matmul4_bananapi,8915690.0,4
softmax,6642087.334000001,8
fused_relax_matmul1_bananapi,6282780.0,4
fused_relax_matmul2_bananapi,5064190.0,4
conv1d,5039980.0,1
matmul,4463985.330000006,912
matmul6,3903954.499999998,152
matmul4,2379500.5000000014,152
transpose3,1496846.4679999996,160
erf2,1137241.0,4
matmul8,980458.0,1
mean,232473.45799999603,1006
softmax1,175807.01,152
add7,156419.15800000002,20
add9,152840.8,4
divide2,150642.2,9
multiply6,146617.4,4
add8,131146.94799999997,12
add10,127768.9,4
multiply7,127648.8,4
divide3,127515.70000000001,4
add6,126914.30900000053,161
erf,123195.85200000003,153
vm.builtin.call_tir_dyn,96223.44799999993,629
subtract,92151.63700000108,503
power,87263.31100000112,503
multiply4,81422.75,9
transpose2,56694.2,4
erf1,54437.4,1
vm.builtin.reshape,40773.44800000029,3130
transpose4,38434.23,4
multiply5,33196.47,4
add3,30066.275000000114,913
transpose1,29752.6,12
multiply,26813.044000000104,495
divide,25482.1030000001,495
transpose,23575.1,1
vm.builtin.make_shape,21093.45900000009,2072
multiply1,21066.127000000055,305
add1,20676.72100000006,495
add4,17946.479000000054,449
add,17458.61300000001,39
add2,16797.713000000043,495
multiply2,14107.20899999999,153
divide1,12698.087999999987,153
multiply3,12487.165999999987,153
concatenate,11567.074999999992,296
vm.builtin.match_shape,8182.74500000002,928
add5,6328.909000000002,169
tir_sqrt,4806.007999999998,503
vm.builtin.check_tensor_info,4552.0129999999945,632
vm.builtin.make_tuple,1396.382,38
take,626.9409999999998,38
shape_func,263.384,37
matmul1,86.461,4
matmul2,66.293,4
