Argument Shapes,Count,Device,Duration (us),Name,Percent
"int64[1, 1]",1,"cpu0",17.875,"vm.builtin.check_tensor_info",0.000846441
"float32[1, 6, 9, 64]",1,"cpu0",8.792,"vm.builtin.check_tensor_info",0.00041633
"float32[1, 6, 9, 64]",1,"cpu0",9.084,"vm.builtin.check_tensor_info",0.000430158
"float32[1, 6, 1500, 64]",1,"cpu0",8.542,"vm.builtin.check_tensor_info",0.000404492
"float32[1, 6, 1500, 64]",1,"cpu0",9.917,"vm.builtin.check_tensor_info",0.000469603
"float32[1, 6, 9, 64]",1,"cpu0",6.167,"vm.builtin.check_tensor_info",0.000292028
"float32[1, 6, 9, 64]",1,"cpu0",6.792,"vm.builtin.check_tensor_info",0.000321624
"float32[1, 6, 1500, 64]",1,"cpu0",5.667,"vm.builtin.check_tensor_info",0.000268351
"float32[1, 6, 1500, 64]",1,"cpu0",6.333,"vm.builtin.check_tensor_info",0.000299889
"float32[1, 6, 9, 64]",1,"cpu0",6.708,"vm.builtin.check_tensor_info",0.000317646
"float32[1, 6, 9, 64]",1,"cpu0",5.458,"vm.builtin.check_tensor_info",0.000258454
"float32[1, 6, 1500, 64]",1,"cpu0",6.25,"vm.builtin.check_tensor_info",0.000295958
"float32[1, 6, 1500, 64]",1,"cpu0",5.667,"vm.builtin.check_tensor_info",0.000268351
"float32[1, 6, 9, 64]",1,"cpu0",5.667,"vm.builtin.check_tensor_info",0.000268351
"float32[1, 6, 9, 64]",1,"cpu0",6.376,"vm.builtin.check_tensor_info",0.000301925
"float32[1, 6, 1500, 64]",1,"cpu0",5.25,"vm.builtin.check_tensor_info",0.000248605
"float32[1, 6, 1500, 64]",1,"cpu0",5.5,"vm.builtin.check_tensor_info",0.000260443
"int64[1, 1], int64[5]",1,"cpu0",10.5,"vm.builtin.match_shape",0.00049721
"float32[1, 6, 9, 64], int64[5]",1,"cpu0",9.459,"vm.builtin.match_shape",0.000447915
"float32[1, 6, 9, 64], int64[5]",1,"cpu0",7.25,"vm.builtin.match_shape",0.000343312
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.917,"vm.builtin.match_shape",0.000327543
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.083,"vm.builtin.match_shape",0.000335404
"float32[1, 6, 9, 64], int64[5]",1,"cpu0",8.625,"vm.builtin.match_shape",0.000408422
"float32[1, 6, 9, 64], int64[5]",1,"cpu0",6.5,"vm.builtin.match_shape",0.000307797
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.833,"vm.builtin.match_shape",0.000323565
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.083,"vm.builtin.match_shape",0.00028805
"float32[1, 6, 9, 64], int64[5]",1,"cpu0",6.625,"vm.builtin.match_shape",0.000313716
"float32[1, 6, 9, 64], int64[5]",1,"cpu0",6.292,"vm.builtin.match_shape",0.000297947
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",6.667,"vm.builtin.match_shape",0.000315705
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.167,"vm.builtin.match_shape",0.000339381
"float32[1, 6, 9, 64], int64[5]",1,"cpu0",7.125,"vm.builtin.match_shape",0.000337392
"float32[1, 6, 9, 64], int64[5]",1,"cpu0",7.5,"vm.builtin.match_shape",0.00035515
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.292,"vm.builtin.match_shape",0.0003453
"float32[1, 6, 1500, 64], int64[5]",1,"cpu0",7.209,"vm.builtin.match_shape",0.00034137
"int64[5]",1,"cpu0",7.376,"shape_func",0.000349278
"int64[1, 1]",1,"cpu0",16.709,"vm.builtin.reshape",0.000791227
"float32[51865, 384], int64[1, 1], float32[1, 1, 384]",1,"cpu0",15.792,"take",0.000747804
"int64[5]",1,"cpu0",11.167,"vm.builtin.make_shape",0.000528795
